ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	PARTIAL	PARTIAL_IDS	CLPA_IDS	CONCEPTICON_ID	GLOTTOLOG
193	Ega	ear	ji₂₂ʨyj₂₁	j i ²² + tɕ y j ²¹	257	ad	65 73	570 1076 1150 200 1047 570 1152	1247	nort2724
194	Gongxing	earth	ʥi₄₂	dʑ i ⁴²	260	a	74	197 1076 1175	1228	nort2724
195	Jinman	earth	ʥi₄₂	dʑ i ⁴²	260	a	74	197 1076 1175	1228	nort2724
196	Mazhelong	earth	ti₂₁	t i ²¹	260	a	74	120 1076 1152	1228	sout2730
197	Dashi	earth	ʨi₃₁	tɕ i ³¹	260	a	74	200 1076 1162	1228	cent2004
198	Zhoucheng	earth	ʨi₃₁	tɕ i ³¹	260	a	74	200 1076 1162	1228	sout2730
199	Jinxing	earth	ʨi₃₁	tɕ i ³¹	260	a	74	200 1076 1162	1228	cent2004
200	Tuolo	earth	ʑi₂₁	ʑ i ²¹	260	a	74	203 1076 1152	1228	nort2724
201	Enqi	earth	ʥi₄₃	dʑ i ⁴³	260	a	74	197 1076 1176	1228	nort2724
202	Ega	earth	ʨi₄₂pa₂₂	tɕ i ⁴² + p a ²²	261	ab	74 75	200 1076 1175 291 997 1150	1228	nort2724
203	Gongxing	eat	ju₂₄	j u ²⁴	262	a	76	570 868 1156	1336	nort2724
204	Jinman	eat	ji₅₅	j i ⁵⁵	262	a	76	570 1076 1189	1336	nort2724
205	Mazhelong	eat	ji₄₄	j i ⁴⁴	262	a	76	570 1076 1178	1336	sout2730
206	Dashi	eat	jɯ₄₄	j ɯ ⁴⁴	262	a	76	570 944 1178	1336	cent2004
207	Zhoucheng	eat	jɯ₄₄	j ɯ ⁴⁴	262	a	76	570 944 1178	1336	sout2730
208	Jinxing	eat	jɯ₄₄	j ɯ ⁴⁴	262	a	76	570 944 1178	1336	cent2004
209	Tuolo	eat	ju₄₂	j u ⁴²	262	a	76	570 868 1175	1336	nort2724
210	Enqi	eat	jɯ₅₅	j ɯ ⁵⁵	262	a	76	570 944 1189	1336	nort2724
211	Ega	eat	ji₄₄	j i ⁴⁴	262	a	76	570 1076 1178	1336	nort2724
212	Gongxing	egg	sen₄₂	s e n ⁴²	263	a	77	89 1089 107 1175	744	nort2724
213	Jinman	egg	sẽ₄₂	s ẽ ⁴²	263	a	77	89 1090 1175	744	nort2724
214	Mazhelong	egg	sɛ₄₂	s ɛ ⁴²	263	a	77	89 1121 1175	744	sout2730
215	Dashi	egg	sen₄₂	s e n ⁴²	263	a	77	89 1089 107 1175	744	cent2004
216	Zhoucheng	egg	se₄₂	s e ⁴²	263	a	77	89 1089 1175	744	sout2730
217	Jinxing	egg	sen₄₂	s e n ⁴²	263	a	77	89 1089 107 1175	744	cent2004
218	Tuolo	egg	sen₂₁	s e n ²¹	263	a	77	89 1089 107 1152	744	nort2724
219	Enqi	egg	sɛ₄₃	s ɛ ⁴³	263	a	77	89 1121 1176	744	nort2724
220	Ega	egg	sɛ₄₂	s ɛ ⁴²	263	a	77	89 1121 1175	744	nort2724
221	Gongxing	eye	wen₂₂	w e n ²²	264	a	78	462 1089 107 1150	1248	nort2724
222	Jinman	eye	mi₂₂	m i ²²	264	a	78	241 1076 1150	1248	nort2724
223	Mazhelong	eye	ŋwɛ₃₃	ŋ w ɛ ³³	264	a	78	801 462 1121 1161	1248	sout2730
224	Dashi	eye	wẽ₃₃	w ẽ ³³	264	a	78	462 1090 1161	1248	cent2004
225	Zhoucheng	eye	we₃₃	w e ³³	264	a	78	462 1089 1161	1248	sout2730
226	Jinxing	eye	wẽ₃₃	w ẽ ³³	264	a	78	462 1090 1161	1248	cent2004
227	Tuolo	eye	wen₃₃	w e n ³³	264	a	78	462 1089 107 1161	1248	nort2724
228	Enqi	eye	ŋwi₂₂	ŋ w i ²²	264	a	78	801 462 1076 1150	1248	nort2724
229	Ega	eye	ŋwi₂₂	ŋ w i ²²	264	a	78	801 462 1076 1150	1248	nort2724
939	Gongxing	far	tɥen₂₂	t ɥ e n ²²	200	a	299	120 458 1089 107 1150	1406	nort2724
940	Jinman	far	tyj₂₂	t y j ²²	200	a	299	120 1047 570 1150	1406	nort2724
941	Mazhelong	far	ʦwen₃₃	ts w e n ³³	200	a	299	15 462 1089 107 1161	1406	sout2730
942	Dashi	far	twen₃₃	t w e n ³³	200	a	299	120 462 1089 107 1161	1406	cent2004
943	Zhoucheng	far	twe₃₃	t w e ³³	200	a	299	120 462 1089 1161	1406	sout2730
944	Jinxing	far	twen₃₃	t w e n ³³	200	a	299	120 462 1089 107 1161	1406	cent2004
945	Tuolo	far	twe₃₃	t w e ³³	200	a	299	120 462 1089 1161	1406	nort2724
946	Enqi	far	tɥɛ₂₂	t ɥ ɛ ²²	200	a	299	120 458 1121 1150	1406	nort2724
947	Ega	far	ti₂₂	t i ²²	200	a	299	120 1076 1150	1406	nort2724
230	Gongxing	fat	t͡ʂi₅₅	ʈʂ i ⁵⁵	265	a	79	699 1076 1189	323	nort2724
231	Jinman	fat	t͡ʂi₅₅	ʈʂ i ⁵⁵	265	a	79	699 1076 1189	323	nort2724
232	Mazhelong	fat	ʦi₅₅	ts i ⁵⁵	265	a	79	15 1076 1189	323	sout2730
233	Dashi	fat	t͡ʂi₅₅	ʈʂ i ⁵⁵	265	a	79	699 1076 1189	323	cent2004
234	Zhoucheng	fat	ʦi₃₅	ts i ³⁵	266	?	80	15 1076 1165	323	sout2730
235	Jinxing	fat	ʦi₅₅	ts i ⁵⁵	265	a	79	15 1076 1189	323	cent2004
236	Tuolo	fat	t͡ʂi₅₅	ʈʂ i ⁵⁵	265	a	79	699 1076 1189	323	nort2724
237	Enqi	fat	ʦi₂₄	ts i ²⁴	265	a	79	15 1076 1156	323	nort2724
238	Ega	fat	ʦɛ₅₅	ts ɛ ⁵⁵	265	a	79	15 1121 1189	323	nort2724
239	Gongxing	feather	mi₁₂	m i ¹²	267	a	81	241 1076 1167	1201	nort2724
240	Jinman	feather	mje₂₁	m j e ²¹	267	a	81	241 570 1089 1152	1201	nort2724
241	Mazhelong	feather	me₂₁	m e ²¹	267	a	81	241 1089 1152	1201	sout2730
242	Dashi	feather	ma₂₁	m a ²¹	267	a	81	241 997 1152	1201	cent2004
243	Zhoucheng	feather	ma₂₁	m a ²¹	267	a	81	241 997 1152	1201	sout2730
244	Jinxing	feather	mɑ̃₂₁	m ɑ̃ ²¹	267	a	81	241 951 1152	1201	cent2004
245	Tuolo	feather	me₃₅	m e ³⁵	267	a	81	241 1089 1165	1201	nort2724
246	Enqi	feather	mjɛ₂₁	m j ɛ ²¹	267	a	81	241 570 1121 1152	1201	nort2724
247	Ega	feather	mi₂₁	m i ²¹	267	a	81	241 1076 1152	1201	nort2724
248	Gongxing	fire	xwɛ₂₂	x w ɛ ²²	268	a	82	778 462 1121 1150	221	nort2724
249	Jinman	fire	fi₂₂	f i ²²	268	a	82	452 1076 1150	221	nort2724
250	Mazhelong	fire	fi₃₃	f i ³³	268	a	82	452 1076 1161	221	sout2730
251	Dashi	fire	xwi₃₃	x w i ³³	268	a	82	778 462 1076 1161	221	cent2004
252	Zhoucheng	fire	xwi₃₃	x w i ³³	268	a	82	778 462 1076 1161	221	sout2730
253	Jinxing	fire	xwi₃₃	x w i ³³	268	a	82	778 462 1076 1161	221	cent2004
254	Tuolo	fire	xwe₃₃	x w e ³³	268	a	82	778 462 1089 1161	221	nort2724
255	Enqi	fire	xwi₂₂	x w i ²²	268	a	82	778 462 1076 1150	221	nort2724
256	Ega	fire	fi₂₂	f i ²²	268	a	82	452 1076 1150	221	nort2724
257	Gongxing	fish	ŋo₅₅	ŋ o ⁵⁵	269	a	83	801 887 1189	227	nort2724
258	Jinman	fish	ŋu₅₅	ŋ u ⁵⁵	269	a	83	801 868 1189	227	nort2724
259	Mazhelong	fish	oŋ₅₅	o ŋ ⁵⁵	269	a	83	887 801 1189	227	sout2730
260	Dashi	fish	wɤ̃₃₅	w ɤ̃ ³⁵	269	a	83	462 948 1165	227	cent2004
261	Zhoucheng	fish	ŋo₃₅	ŋ o ³⁵	269	a	83	801 887 1165	227	sout2730
262	Jinxing	fish	ṃ₅₅	m̩ ⁵⁵	269	a	83	235 1189	227	cent2004
263	Tuolo	fish	ŋɤ₅₅	ŋ ɤ ⁵⁵	269	a	83	801 947 1189	227	nort2724
264	Enqi	fish	ŋo₂₄	ŋ o ²⁴	269	a	83	801 887 1156	227	nort2724
265	Ega	fish	ŋu₅₅	ŋ u ⁵⁵	269	a	83	801 868 1189	227	nort2724
266	Gongxing	fly	p͡fu₅₅	pf u ⁵⁵	270	a	84	424 868 1189	1441	nort2724
267	Jinman	fly	fi₅₅	f i ⁵⁵	270	a	84	452 1076 1189	1441	nort2724
268	Mazhelong	fly	pi₅₅	p i ⁵⁵	270	a	84	291 1076 1189	1441	sout2730
269	Dashi	fly	fɤ₃₅	f ɤ ³⁵	270	a	84	452 947 1165	1441	cent2004
270	Zhoucheng	fly	fɤ₃₅	f ɤ ³⁵	270	a	84	452 947 1165	1441	sout2730
271	Jinxing	fly	fɤ₅₅	f ɤ ⁵⁵	270	a	84	452 947 1189	1441	cent2004
272	Tuolo	fly	fɚ₅₅	f ə˞ ⁵⁵	270	a	84	452 1026 1189	1441	nort2724
273	Enqi	fly	fɛ₂₄	f ɛ ²⁴	270	a	84	452 1121 1156	1441	nort2724
274	Ega	fly	xwɛ₅₅	x w ɛ ⁵⁵	270	a	84	778 462 1121 1189	1441	nort2724
275	Gongxing	foot	ku₂₄	k u ²⁴	271	a	85	838 868 1156	1301	nort2724
276	Jinman	foot	ko₅₅	k o ⁵⁵	271	a	85	838 887 1189	1301	nort2724
277	Mazhelong	foot	ko₄₄	k o ⁴⁴	271	a	85	838 887 1178	1301	sout2730
278	Dashi	foot	kow₄₄	k o w ⁴⁴	271	a	85	838 887 462 1178	1301	cent2004
279	Zhoucheng	foot	ko₄₄	k o ⁴⁴	271	a	85	838 887 1178	1301	sout2730
280	Jinxing	foot	kow₄₄	k o w ⁴⁴	271	a	85	838 887 462 1178	1301	cent2004
281	Tuolo	foot	ko₄₂	k o ⁴²	271	a	85	838 887 1175	1301	nort2724
282	Enqi	foot	ku₅₅	k u ⁵⁵	271	a	85	838 868 1189	1301	nort2724
283	Ega	foot	ku₄₄	k u ⁴⁴	271	a	85	838 868 1178	1301	nort2724
284	Gongxing	full	mi₂₂	m i ²²	272	a	86	241 1076 1150	1429	nort2724
285	Jinman	full	me₂₂	m e ²²	272	a	86	241 1089 1150	1429	nort2724
286	Mazhelong	full	mɛ₃₃	m ɛ ³³	272	a	86	241 1121 1161	1429	sout2730
287	Dashi	full	ma₃₃	m a ³³	272	a	86	241 997 1161	1429	cent2004
288	Zhoucheng	full	ma₃₃	m a ³³	272	a	86	241 997 1161	1429	sout2730
289	Jinxing	full	mɑ̃₃₃	m ɑ̃ ³³	272	a	86	241 951 1161	1429	cent2004
290	Tuolo	full	me₃₃	m e ³³	272	a	86	241 1089 1161	1429	nort2724
291	Enqi	full	mjɛ₂₂	m j ɛ ²²	272	a	86	241 570 1121 1150	1429	nort2724
292	Ega	full	mi₂₂	m i ²²	272	a	86	241 1076 1150	1429	nort2724
293	Gongxing	give	zi₄₂	z i ⁴²	273	a	87	80 1076 1175	1447	nort2724
294	Jinman	give	zi₄₂	z i ⁴²	273	a	87	80 1076 1175	1447	nort2724
295	Mazhelong	give	zǝɯ₂₁	z əu ²¹	273	a	87	80 1036 1152	1447	sout2730
296	Dashi	give	zi₂₁	z i ²¹	273	a	87	80 1076 1152	1447	cent2004
297	Zhoucheng	give	zɯ₄₂	z ɯ ⁴²	273	a	87	80 944 1175	1447	sout2730
298	Jinxing	give	si₃₁	s i ³¹	273	a	87	89 1076 1162	1447	cent2004
299	Tuolo	give	zi₂₁	z i ²¹	273	a	87	80 1076 1152	1447	nort2724
300	Enqi	give	ʦi₄₃	ts i ⁴³	273	a	87	15 1076 1176	1447	nort2724
301	Ega	give	zi₄₂	z i ⁴²	273	a	87	80 1076 1175	1447	nort2724
302	Gongxing	good	ʣan₁₂	dz a n ¹²	274	b	88	20 997 107 1167	1035	nort2724
303	Jinman	good	xo₂₂	x o ²²	275	a	89	778 887 1150	1035	nort2724
304	Mazhelong	good	xǝ₃₃	x ə ³³	275	a	89	778 1022 1161	1035	sout2730
305	Dashi	good	xu₃₃	x u ³³	275	a	89	778 868 1161	1035	cent2004
306	Zhoucheng	good	xu₃₃	x u ³³	275	a	89	778 868 1161	1035	sout2730
307	Jinxing	good	xu₃₃	x u ³³	275	a	89	778 868 1161	1035	cent2004
308	Tuolo	good	djaŋ₃₅	d j a ŋ ³⁵	274	b	88	145 570 997 801 1165	1035	nort2724
309	Enqi	good	djæ₂₁	d j æ ²¹	274	b	88	145 570 1087 1152	1035	nort2724
310	Ega	good	xo₅₅	x o ⁵⁵	275	a	89	778 887 1189	1035	nort2724
311	Dashi	good	ʨʰõ₄₄	tɕʰ õ ⁴⁴	274	b	88	199 883 1178	1035	cent2004
312	Zhoucheng	good	ʨʰow₅₅	tɕʰ o w ⁵⁵	274	b	88	199 887 462 1189	1035	sout2730
313	Jinxing	good	ʨʰõ₄₄	tɕʰ õ ⁴⁴	274	b	88	199 883 1178	1035	cent2004
314	Gongxing	green	ʦʰan₂₄	tsʰ a n ²⁴	276	a	90	13 997 107 1156	1425	nort2724
315	Jinman	green	ʨʰã₅₅	tɕʰ ã ⁵⁵	276	a	90	199 1014 1189	1425	nort2724
316	Mazhelong	green	lɤ₄₄	l ɤ ⁴⁴	277	b	91	554 947 1178	1425	sout2730
317	Dashi	green	lo₄₄	l o ⁴⁴	277	b	91	554 887 1178	1425	cent2004
318	Zhoucheng	green	lɤ₄₄	l ɤ ⁴⁴	277	b	91	554 947 1178	1425	sout2730
319	Jinxing	green	lu₄₄	l u ⁴⁴	277	b	91	554 868 1178	1425	cent2004
320	Tuolo	green	ʨʰaŋ₂₁	tɕʰ a ŋ ²¹	276	a	90	199 997 801 1152	1425	nort2724
321	Enqi	green	ʨʰæ₂₄	tɕʰ æ ²⁴	276	a	90	199 1087 1156	1425	nort2724
322	Ega	green	ʨʰa₄₂	tɕʰ a ⁴²	276	a	90	199 997 1175	1425	nort2724
323	Gongxing	hair	di₂₄mjɛ₁₂	d i ²⁴ + m j ɛ ¹²	278	bc	92 93	145 1076 1156 241 570 1121 1167	1040	nort2724
324	Jinman	hair	ʈe₂₁me₅₅	ʈ e ²¹ + m e ⁵⁵	278	bc	92 93	717 1089 1152 241 1089 1189	1040	nort2724
325	Mazhelong	hair	tɛ₂₁mɛ₅₅	t ɛ ²¹ + m ɛ ⁵⁵	278	bc	92 93	120 1121 1152 241 1121 1189	1040	sout2730
326	Dashi	hair	ɕa₄₄	ɕ a ⁴⁴	279	a	94	204 997 1178	1040	cent2004
327	Zhoucheng	hair	tɯ₂₁ma₃₅	t ɯ ²¹ + m a ³⁵	278	bc	92 93	120 944 1152 241 997 1165	1040	sout2730
328	Jinxing	hair	ɕɔ₄₄	ɕ ɔ ⁴⁴	279	a	94	204 916 1178	1040	cent2004
329	Tuolo	hair	djɯ₃₅me₅₅	d j ɯ ³⁵ + m e ⁵⁵	278	bc	92 93	145 570 944 1165 241 1089 1189	1040	nort2724
330	Enqi	hair	tjɯ₂₁mjɛ₂₄	t j ɯ ²¹ + m j ɛ ²⁴	278	bc	92 93	120 570 944 1152 241 570 1121 1156	1040	nort2724
331	Ega	hair	ti₂₁mi₅₅	t i ²¹ + m i ⁵⁵	278	bc	92 93	120 1076 1152 241 1076 1189	1040	nort2724
332	Jinxing	hair	tǝ₂₁mã₅₅	t ə ²¹ + m ã ⁵⁵	278	bc	92 93	120 1022 1152 241 1014 1189	1040	cent2004
333	Gongxing	hand	ʂi₂₂	ʂ i ²²	280	a	95	705 1076 1150	1277	nort2724
334	Jinman	hand	ɕi₂₂	ɕ i ²²	280	a	95	204 1076 1150	1277	nort2724
335	Mazhelong	hand	sǝɯ₃₃	s əu ³³	280	a	95	89 1036 1161	1277	sout2730
336	Dashi	hand	ʂʰɯ₃₃	ʂʰ ɯ ³³	280	a	95	704 944 1161	1277	cent2004
337	Zhoucheng	hand	sɯ₃₃	s ɯ ³³	280	a	95	89 944 1161	1277	sout2730
338	Jinxing	hand	sɯ₃₃	s ɯ ³³	280	a	95	89 944 1161	1277	cent2004
339	Tuolo	hand	ɕɯ₃₃	ɕ ɯ ³³	280	a	95	204 944 1161	1277	nort2724
340	Enqi	hand	ɕɯ₂₂	ɕ ɯ ²²	280	a	95	204 944 1150	1277	nort2724
341	Ega	hand	ɕi₂₂	ɕ i ²²	280	a	95	204 1076 1150	1277	nort2724
342	Gongxing	head	di₁₂	d i ¹²	281	a	96	145 1076 1167	1256	nort2724
343	Jinman	head	ʈo₂₂	ʈ o ²²	281	a	96	717 887 1150	1256	nort2724
344	Mazhelong	head	ta₄₂po₂₁	t a ⁴² + p o ²¹	282	ac	96 97	120 997 1175 291 887 1152	1256	sout2730
345	Dashi	head	ti₄₂	t i ⁴²	281	a	96	120 1076 1175	1256	cent2004
346	Zhoucheng	head	tɯ₃₁po₂₁	t ɯ ³¹ + p o ²¹	282	ac	96 97	120 944 1162 291 887 1152	1256	sout2730
347	Jinxing	head	tǝ₃₁	t ə ³¹	281	a	96	120 1022 1162	1256	cent2004
348	Tuolo	head	djɯ₃₅	d j ɯ ³⁵	281	a	96	145 570 944 1165	1256	nort2724
349	Enqi	head	tiw₂₁	t i w ²¹	281	a	96	120 1076 462 1152	1256	nort2724
350	Ega	head	ʨu₂₂qa₅₅	tɕ u ²² + q a ⁵⁵	283	ab	96 98	200 868 1150 757 997 1189	1256	nort2724
351	Gongxing	hear	ʨʰjan₅₅	tɕʰ j a n ⁵⁵	284	a	99	199 570 997 107 1189	1408	nort2724
352	Jinman	hear	ʨʰjã₅₅	tɕʰ j ã ⁵⁵	284	a	99	199 570 1014 1189	1408	nort2724
353	Mazhelong	hear	ʨʰɚ̃₅₅	tɕʰ ə̃˞ ⁵⁵	284	a	99	199 1024 1189	1408	sout2730
354	Dashi	hear	ʨʰjɚ̃₅₅	tɕʰ j ə̃˞ ⁵⁵	284	a	99	199 570 1024 1189	1408	cent2004
355	Zhoucheng	hear	ʨʰjɛ₅₅	tɕʰ j ɛ ⁵⁵	284	a	99	199 570 1121 1189	1408	sout2730
356	Jinxing	hear	ʨʰjan₅₅tǝ₃₃	tɕʰ j a n ⁵⁵ + t ə ³³	285	ab	99 100	199 570 997 107 1189 120 1022 1161	1408	cent2004
357	Tuolo	hear	ʨʰjaŋ₅₅	tɕʰ j a ŋ ⁵⁵	284	a	99	199 570 997 801 1189	1408	nort2724
358	Enqi	hear	ʨʰjæ₂₄	tɕʰ j æ ²⁴	284	a	99	199 570 1087 1156	1408	nort2724
359	Ega	hear	ʨʰja₅₅	tɕʰ j a ⁵⁵	284	a	99	199 570 997 1189	1408	nort2724
360	Gongxing	heart	ɕin₅₅	ɕ i n ⁵⁵	4	a	101	204 1076 107 1189	1223	nort2724
361	Jinman	heart	sẽ₅₅	s ẽ ⁵⁵	4	a	101	89 1090 1189	1223	nort2724
362	Mazhelong	heart	ɕen₅₅	ɕ e n ⁵⁵	4	a	101	204 1089 107 1189	1223	sout2730
363	Dashi	heart	ɕen₅₅	ɕ e n ⁵⁵	4	a	101	204 1089 107 1189	1223	cent2004
364	Zhoucheng	heart	ɕi₃₅	ɕ i ³⁵	4	a	101	204 1076 1165	1223	sout2730
365	Jinxing	heart	ɕen₅₅	ɕ e n ⁵⁵	4	a	101	204 1089 107 1189	1223	cent2004
366	Tuolo	heart	ɕen₅₅	ɕ e n ⁵⁵	4	a	101	204 1089 107 1189	1223	nort2724
367	Enqi	heart	si₂₄	s i ²⁴	4	a	101	89 1076 1156	1223	nort2724
368	Ega	heart	sɛ₅₅	s ɛ ⁵⁵	4	a	101	89 1121 1189	1223	nort2724
948	Gongxing	heavy	ʣoŋ₂₂	dz o ŋ ²²	204	a	300	20 887 801 1150	1210	nort2724
949	Jinman	heavy	ʥõ₂₂	dʑ õ ²²	204	a	300	197 883 1150	1210	nort2724
950	Mazhelong	heavy	ʦõ₂₁	ts õ ²¹	204	a	300	15 883 1152	1210	sout2730
951	Dashi	heavy	t͡ʂõ₃₃	ʈʂ õ ³³	204	a	300	699 883 1161	1210	cent2004
952	Zhoucheng	heavy	ʦɤ₃₃	ts ɤ ³³	204	a	300	15 947 1161	1210	sout2730
953	Jinxing	heavy	ʦɤ̃₃₃	ts ɤ̃ ³³	204	a	300	15 948 1161	1210	cent2004
954	Tuolo	heavy	ʐɤŋ₃₃	ʐ ɤ ŋ ³³	204	a	300	706 947 801 1161	1210	nort2724
955	Enqi	heavy	d͡ʐo₂₂	ɖʐ o ²²	204	a	300	698 887 1150	1210	nort2724
956	Ega	heavy	ʥo₂₂	dʑ o ²²	204	a	300	197 887 1150	1210	nort2724
369	Gongxing	horn	qwa₂₄	q w a ²⁴	5	a	102	757 462 997 1156	1393	nort2724
370	Jinman	horn	qo₅₅	q o ⁵⁵	5	a	102	757 887 1189	1393	nort2724
371	Mazhelong	horn	koŋ₄₄	k o ŋ ⁴⁴	5	a	102	838 887 801 1178	1393	sout2730
372	Dashi	horn	ko₄₄	k o ⁴⁴	5	a	102	838 887 1178	1393	cent2004
373	Zhoucheng	horn	kɤ₄₄	k ɤ ⁴⁴	5	a	102	838 947 1178	1393	sout2730
374	Jinxing	horn	kɤ₄₄	k ɤ ⁴⁴	5	a	102	838 947 1178	1393	cent2004
375	Tuolo	horn	qo₄₂qa₂₁	q o ⁴² + q a ²¹	6	aa	102 102	757 887 1175 757 997 1152	1393	nort2724
376	Enqi	horn	qo₅₅	q o ⁵⁵	5	a	102	757 887 1189	1393	nort2724
377	Ega	horn	qo₄₄	q o ⁴⁴	5	a	102	757 887 1178	1393	nort2724
387	Gongxing	kill	χa₂₄	χ a ²⁴	8	a	104	748 997 1156	1417	nort2724
388	Jinman	kill	ɕa₅₅	ɕ a ⁵⁵	8	a	104	204 997 1189	1417	nort2724
389	Mazhelong	kill	ɕa₄₄	ɕ a ⁴⁴	8	a	104	204 997 1178	1417	sout2730
390	Dashi	kill	ɕʰa₄₄	ɕʰ a ⁴⁴	8	a	104	206 997 1178	1417	cent2004
391	Zhoucheng	kill	ɕa₄₄	ɕ a ⁴⁴	8	a	104	204 997 1178	1417	sout2730
392	Jinxing	kill	ɕɑ₄₄	ɕ ɑ ⁴⁴	8	a	104	204 952 1178	1417	cent2004
393	Tuolo	kill	ɕɔ₄₂	ɕ ɔ ⁴²	8	a	104	204 916 1175	1417	nort2724
394	Enqi	kill	xa₅₅	x a ⁵⁵	8	a	104	778 997 1189	1417	nort2724
395	Ega	kill	ɕo₄₄	ɕ o ⁴⁴	8	a	104	204 887 1178	1417	nort2724
396	Gongxing	knee	qa₅₅ʦi₂₂qa₅₅qa₄₂	q a ⁵⁵ + ts i ²² + q a ⁵⁵ + q a ⁴²	11	abcc	105 106 107 107	757 997 1189 15 1076 1150 757 997 1189 757 997 1175	1371	nort2724
397	Jinman	knee	ko₄₄ʦe₄₄	k o ⁴⁴ + ts e ⁴⁴	9	ab	105 106	838 887 1178 15 1089 1178	1371	nort2724
398	Mazhelong	knee	ko₄₄ʦɛ₄₄tǝɯ₂₁	k o ⁴⁴ + ts ɛ ⁴⁴ + t əu ²¹	12	abd	105 106 108	838 887 1178 15 1121 1178 120 1036 1152	1371	sout2730
399	Dashi	knee	kʰwa₃₁tjow₃₁ʦe₄₄	kʰ w a ³¹ + t j o w ³¹ + ts e ⁴⁴	14	adb	105 108 106	820 462 997 1162 120 570 887 462 1162 15 1089 1178	1371	cent2004
400	Zhoucheng	knee	kʰwa₃₃te₅₅tɯ₂₁	kʰ w a ³³ + t e ⁵⁵ + t ɯ ²¹	12	abd	105 106 108	820 462 997 1161 120 1089 1189 120 944 1152	1371	sout2730
401	Jinxing	knee	kʰwɑ₃₁ʦɿ₃₃te₄₄kɔ₃₃	kʰ w ɑ ³¹ + ts ɿ ³³ + t e ⁴⁴ + k ɔ ³³	13	abdc	105 106 108 107	820 462 952 1162 15 945 1161 120 1089 1178 838 916 1161	1371	cent2004
